Question;Option A;Option B;Option C;Option D;Option E;Correct Answer
What is the primary goal of image formation in computer vision?;A. To increase image size;B. To convert 3D coordinates to 2D;C. To change color balance;D. To enhance contrast;;B
Which camera model uses a small aperture to focus light into an image?;A. DSLR Camera;B. Mirrorless Camera;C. Pinhole Camera;D. Film Camera;;C
What effect does perspective projection have on distant objects?;A. Makes them appear larger;B. Distorts their shape;C. Makes them appear smaller;D. Increases their brightness;;C
Which type of projection is used when scene depth is small relative to the distance to the camera?;A. Perspective projection;B. Affine projection;C. Cylindrical projection;D. Spherical projection;;B
What type of distortion is characterized by the edges of an image appearing curved?;A. Barrel distortion;B. Chromatic aberration;C. Vignetting;D. Motion blur;;A
What color space separates luminance from chrominance for efficient compression?;A. RGB;B. CMYK;C. YCbCr;D. HSV;;C
Which color space is often used in image editing due to its intuitive adjustment of hue, saturation, and brightness?;A. RGB;B. HSV;C. YCbCr;D. Lab;;B
What is the main advantage of using the Lab color space?;A. It is perceptually uniform;B. It is used for printing;C. It requires less computational power;D. It has more channels;;A
What is the purpose of digital image sampling?;A. To increase image contrast;B. To convert analog images to digital;C. To enhance color depth;D. To compress image size;;B
What is spatial resolution in digital images?;A. The number of bits per pixel;B. The number of pixels per unit area;C. The intensity of each pixel;D. The range of colors in an image;;B
Which process is used to digitize the intensity values in an image?;A. Sampling;B. Quantisation;C. Compression;D. Filtering;;B
Which type of operation directly manipulates pixel intensity values in the spatial domain?;A. Transform domain operations;B. Point operations;C. Compression;D. Histogram equalization;;B
What does a spatial filter do in image processing?;A. Changes image color balance;B. Enhances image brightness;C. Modifies pixel values based on neighboring pixels;D. Reduces image size;;C
What is the main goal of convolution in image processing?;A. To invert image colors;B. To apply a transformation using a kernel;C. To increase image resolution;D. To rotate the image;;B
Which filter type uses the average of pixels within a kernel?;A. Median filter;B. Mean filter;C. Gaussian filter;D. Laplacean filter;;B
Which filter is used to smooth an image while preserving edges?;A. Median filter;B. Mean filter;C. Gaussian filter;D. Laplacean filter;;C
Which filter is best for reducing 'salt-and-pepper' noise in an image?;A. Gaussian filter;B. Median filter;C. Mean filter;D. Laplacean filter;;B
What does padding do in the context of convolution?;A. It compresses the image;B. It enhances image colors;C. It adds constant value pixels around the image;D. It sharpens the image edges;;C
What property of convolution ensures that shifting an image results in a shifted output?;A. Linearity;B. Commutativity;C. Shift Invariance;D. Distributivity;;C
What is unsharp masking used for in image processing?;A. To blur the image;B. To increase image contrast;C. To sharpen the image;D. To change image hue;;C
Which technique combines filtering and downsampling in image processing?;A. Upscaling;B. Pooling;C. Clamping;D. Quantisation;;B
What is the primary goal of edge detection in images?;A. To blur the image;B. To identify noise;C. To highlight regions with rapid intensity changes;D. To change image brightness;;C
Which filter is used to calculate the second derivative in images?;A. Median filter;B. Gaussian filter;C. Mean filter;D. Laplacean filter;;D
What is the primary purpose of Fourier domain differentiation?;A. To enhance colors;B. To separate frequencies;C. To sharpen the image;D. To increase resolution;;B
Which technique uses gradients for seamless image editing?;A. Histogram equalization;B. Gradient domain editing;C. Transform domain operations;D. Spatial filtering;;B
