Question;Option A;Option B;Option C;Option D;Option E;Correct Answer
Which one of the following statements about colour spaces is incorrect?;A. The R, G, and B channels of the RGB colour space are often correlated.;B. The H and the S channel of the HSV colour space are confounded.;C. The Y channel of the YCbCr colour space represents the brightness.;D. The a* channel of the L*a*b* colour space is the green-blue component.;;D
Which one of the following statements about intensity transformations is incorrect?;A. Contrast stretching linearly maps intensities between two values to the full output range.;B. Log transformation maps a narrow range of high intensities to a wider range of output values.;C. Power transformation can map intensities similar to log and inverse log transformations.;D. Piecewise linear transformations can achieve contrast stretching and intensity slicing.;;C
What is the effect of the following 2D convolution kernel on an image?;A. It approximates the sum of first-order derivatives in 𝑥𝑥 and 𝑦𝑦.;B. It approximates the sum of second-order derivatives in 𝑥𝑥 and 𝑦𝑦.;C. It approximates the product of first-order derivatives in 𝑥𝑥 and 𝑦𝑦.;D. It approximates the product of second-order derivatives in 𝑥𝑥 and 𝑦𝑦.;;B
Which one of the following statements on image filtering is incorrect?;A. Median filtering reduces noise in images.;B. Low-pass filtering results in blurry images.;C. High-pass filtering smooths fine details in images.;D. Notch filtering removes specific image frequencies.;;C
Which one of the following statements about feature descriptors is incorrect?;A. Haralick features are derived from gray-level co-occurrence matrices.;B. SIFT achieves rotation invariance by computing gradient histograms at multiple scales.;C. LBP describes local image texture and can be multiresolution and rotation-invariant.;D. Colour moments have lower representation capability than the colour histogram.;;D
Given the image below showing the result of a segmentation of various objects and the desired classification of these objects. The two different colours (red and green) indicate the two different classes which the objects are to be assigned to. A straightforward way to perform classification is by computing the value of a quantitative shape measure for each object and then thresholding those values. Suppose we compute the circularity and the eccentricity. Which of these two measures can be used to produce the shown classification?;A. Only circularity;B. Only eccentricity;C. Both circularity and eccentricity;D. Neither circularity nor eccentricity;;B
Which one of the following statements is correct for random forest classifiers?;A. Increasing the correlation between the individual trees decreases the random forest classification error rate.;B. Reducing the number of selected features at each node increases the correlation between the individual trees.;C. Reducing the number of selected features at each node increases the strength of the individual trees.;D. Increasing the strength of the individual trees decreases the random forest classification error rate.;;D
Which one of the following statements is correct for pattern recognition?;A. Pattern recognition is defined as the process of model training on a training dataset and then testing on an independent test set.;B. The dimension of feature vectors should be smaller than the number of training samples in order to avoid the overfitting problem.;C. The simple kNN classifier needs homogeneous feature types and scales so that the classification performance can be better.;D. SVM is a powerful classifier that can separate classes even when the feature space exhibits significant overlaps between classes.;;D
To automatically identify the objects (in white) in this image we can use the connected components labelling algorithm. How many separate objects will this algorithm find here if it uses 4-connectivity?;A. 4;B. 5;C. 6;D. 7;;C
Given a binary input image 𝐼𝐼 to which we apply the following algorithm: Step 1: Create a copy 𝐶𝐶 of input image 𝐼𝐼. Step 2: Copy the boundary pixels of 𝐶𝐶 into new image 𝐵𝐵. Step 3: Compute the reconstruction 𝑅𝑅 of 𝐶𝐶 from 𝐵𝐵. Step 4: Compute output 𝑂𝑂 by subtracting 𝑅𝑅 from 𝐼𝐼. What does the output image 𝑂𝑂 contain?;A. The same objects as the input image whatever the input.;B. The same objects as the input image but with holes filled.;C. The same objects as the input image except the boundary objects.;D. The same objects as the input image but with touching objects separated.;;C
Which one of the following lines describes the purpose of convolutional layers in CNNs?;A. Reducing the size of the feature maps.;B. Calculating the dot product of the input and kernels.;C. Applying a nonlinear activation function.;D. Making the network learn faster.;;B
Which one of the following lines describes the purpose of transfer learning?;A. Training a model from scratch for each new task.;B. Using a pretrained model and fine-tuning it for a new task.;C. Converting image data to text data to facilitate learning.;D. Combining multiple models into a single model for better performance.;;B
Which one of the following lines best describes the key benefit of CNNs over traditional ANNs for image classification?;A. CNNs are computationally less expensive.;B. CNNs automatically learn hierarchical features.;C. CNNs require fewer network layers.;D. CNNs can learn nonlinear mappings.;;B
